english,vietnamese
ultimately,cuối cùng
cat,con mèo
contribution,sự đóng góp
capacity,dung tích
ourselves,chính chúng ta
estate,tài sản
guide,hướng dẫn
circumstance,hoàn cảnh
snow,tuyết
English,Tiếng Anh
politician,Chính trị gia
steal,ăn cắp
pursue,theo đuổi
slip,trượt
percentage,Tỷ lệ phần trăm
meat,thịt
funny,hài hước
neither,không
soil,đất
surgery,ca phẫu thuật
correct,Chính xác
Jewish,Do Thái
blame,lỗi
estimate,ước lượng
due,quá hạn
basketball,bóng rổ
golf,golf
investigate,khảo sát
crazy,khùng
significantly,đáng kể
chain,chuỗi
branch,chi nhánh
combination,sự phối hợp
frequently,thường xuyên
relief,sự cứu tế
user,người dùng
dad,cha
kick,đá
manner,thái độ
ancient,cổ đại
silence,Im lặng
rating,Xếp hạng
golden,Vàng
motion,cử động
German,tiếng Đức
gender,giới tính
solve,giải quyết
fee,học phí
landscape,cảnh quan
used,được sử dụng
bowl,bát
equal,công bằng
forth,Forth
frame,khung
typical,đặc trưng
except,ngoại trừ
conservative,thận trọng
eliminate,loại bỏ
host,chủ nhà
hall,đại sảnh
trust,Lòng tin
ocean,đại dương
row,hàng ngang
producer,nhà sản xuất
afford,đủ khả năng
meanwhile,trong khi đó
regime,chế độ
division,phân công
confirm,xác nhận
fix,sửa chữa
appeal,bắt mắt
mirror,gương
tooth,răng
smart,thông minh
length,chiều dài
entirely,toàn bộ
rely,phụ thuộc
topic,đề tài
complain,than phiền
variable,Biến đổi
telephone,Điện thoại
perception,sự nhận thức
attract,thu hút
confidence,lòng tin
bedroom,Phòng ngủ
secret,bí mật
debt,nợ nần
rare,hiếm
tank,xe tăng
nurse,cô y tá
coverage,phủ sóng
opposition,Sự đối lập
aside,qua một bên
anywhere,bất cứ nơi nào
bond,liên kết
pleasure,Hân hạnh
master,sư phụ
era,kỷ nguyên
requirement,yêu cầu
fun,niềm vui
expectation,sự mong đợi
wing,cánh
separate,tách rời
somewhat,một phần
pour,đến
stir,Khuấy
judgment,Phán quyết
beer,bia
reference,thẩm quyền giải quyết
tear,xé
doubt,nghi ngờ
grant,khoản trợ cấp
seriously,nghiêm trọng
minister,"bộ trưởng, mục sư"
totally,Tổng cộng
hero,anh hùng
industrial,công nghiệp
cloud,mây
stretch,căng ra
winner,người chiến thắng
volume,âm lượng
seed,hạt giống
surprised,ngạc nhiên
fashion,thời trang
pepper,tiêu
busy,bận
intervention,sự can thiệp
copy,sao chép
tip,tiền boa
cheap,rẻ
aim,mục đích
cite,Trích dẫn
welfare,phúc lợi
vegetable,rau
gray,xám
dish,món ăn
beach,bờ biển
improvement,sự cải tiến
everywhere,mọi nơi
opening,khai mạc
overall,tổng thể
divide,chia
initial,ban đầu
terrible,kinh khủng
oppose,phản đối
contemporary,đồng thời
route,tuyến đường
multiple,nhiều
essential,Thiết yếu
league,liên đoàn
criminal,tội phạm
careful,cẩn thận
core,cốt lõi
upper,phía trên
rush,cây bấc
necessarily,nhất thiết
specifically,đặc biệt
tired,mệt mỏi
employ,thuê
holiday,ngày lễ
vast,rộng lớn
resolution,nghị quyết
household,hộ gia đình
fewer,ít hơn
abortion,sự phá thai
apart,riêng biệt
witness,chứng kiến
match,trận đấu
barely,vừa đủ
sector,khu vực
representative,Tiêu biểu
beneath,ở bên dưới
beside,bên cạnh
incident,sự cố
limited,giới hạn
proud,hãnh diện
flow,lưu lượng
faculty,giảng viên
increased,tăng
waste,chất thải
merely,chỉ đơn thuần
mass,khối
emphasize,nhấn mạnh
experiment,thí nghiệm
definitely,chắc chắn
bomb,bom
enormous,lớn lao
tone,tấn
liberal,tự do
massive,to lớn
engineer,kĩ sư
wheel,bánh xe
decline,từ chối
invest,đầu tư
cable,cáp
towards,đối với
expose,lộ ra
rural,nông thôn
AIDS,AIDS
Jew,Hoặc
narrow,hẹp
cream,kem
secretary,Thư ký
gate,cánh cổng
solid,chất rắn
hill,đồi núi
typically,tiêu biểu
noise,tiếng ồn
grass,cỏ
unfortunately,Không may
hat,Có
legislation,pháp luật
succeed,thành công
celebrate,ăn mừng
achievement,thành tựu
fishing,đánh bắt cá
accuse,buộc tội
useful,có ích
reject,Từ chối
talent,năng lực
taste,nếm thử
characteristic,đặc tính
milk,Sữa
escape,thoát khỏi
cast,dàn diễn viên
sentence,kết án
unusual,không bình thường
closely,chặt chẽ
convince,thuyết phục
height,Chiều cao
physician,bác sĩ
assess,đánh giá
plenty,nhiều
virtually,hầu như
addition,phép cộng
sharp,sắc
creative,sáng tạo
lower,thấp hơn
approve,chấp thuận
explanation,giải trình
gay,Gay
campus,khuôn viên
proper,thích hợp
guilty,có tội
acquire,"có được, thu được"
compete,tranh đua
technical,kỹ thuật
plus,thêm
immigrant,di trú
weak,Yếu
illegal,không hợp lệ
hi,Chào
alternative,thay thế
interaction,sự tương tác
column,cột
personality,tính cách
signal,dấu hiệu
curriculum,chương trình giáo dục
honor,tôn vinh
passenger,hành khách
assistance,hỗ trợ
forever,mãi mãi
regard,về
Israeli,Israel
association,sự kết hợp
twenty,hai mươi
knock,cú đánh
wrap,bọc
lab,Phòng thí nghiệm
display,trưng bày
criticism,sự chỉ trích
asset,tài sản
depression,Phiền muộn
spiritual,Tâm linh
musical,âm nhạc
journalist,nhà báo
prayer,người cầu nguyện
suspect,nghi ngờ
scholar,Học giả
warning,cảnh báo
climate,khí hậu
cheese,phô mai
observation,quan sát
childhood,tuổi thơ
payment,sự chi trả
sir,quý ngài
permit,cho phép làm gì
cigarette,thuốc lá
definition,Định nghĩa
priority,sự ưu tiên
bread,bánh mỳ
creation,sự sáng tạo
graduate,tốt nghiệp
request,yêu cầu
emotion,cảm xúc
scream,la hét
dramatic,kịch
universe,Vũ trụ
gap,lỗ hổng
excellent,Xuất sắc
deeply,sâu sắc
prosecutor,Công tố viên
lucky,may mắn
drag,lôi kéo
airline,hàng không
library,thư viện
agenda,chương trình nghị sự
recover,hồi phục
factory,nhà máy
selection,lựa chọn
primarily,chủ yếu
roof,mái nhà
unable,không thể
expense,chi phí
initiative,sáng kiến
diet,chế độ ăn
arrest,bắt giữ
funding,kinh phí
therapy,trị liệu
wash,rửa
schedule,lịch trình
sad,buồn
brief,ngắn gọn
housing,nhà ở
post,bưu kiện
purchase,"mua, tựa vào, bám vào"
existing,hiện tại
steel,Thép
regarding,về
shout,kêu la
remaining,còn lại
visual,thị giác
fairly,công bằng
chip,Chip
violent,hung bạo
silent,im lặng
suppose,giả sử
self,bản thân
bike,xe đạp
tea,trà
perceive,nhận thức
comparison,so sánh
settlement,giải quyết
layer,lớp
planning,lập kế hoạch
description,sự miêu tả
slide,cầu trượt
widely,rộng rãi
wedding,lễ cưới
inform,báo
portion,phần
territory,lãnh thổ
immediate,ngay tức khắc
opponent,phản đối
abandon,bỏ rơi
lake,hồ
transform,biến đổi
tension,căng thẳng
leading,Dẫn đầu
bother,làm phiền
consist,bao gồm
alcohol,rượu
enable,cho phép
bend,bẻ cong
saving,tiết kiệm
desert,Sa mạc
shall,nên
error,lỗi
cop,cảnh sát
Arab,Ả Rập
double,gấp đôi
sand,cát
Spanish,người Tây Ban Nha
print,in
preserve,bảo tồn
passage,đoạn văn
formal,chính thức
transition,chuyển đổi
existence,sự tồn tại
album,Album
participation,sự tham gia
arrange,sắp xếp
atmosphere,khí quyển
joint,chung
reply,Đáp lại
cycle,đi xe đạp
opposite,đối nghịch
lock,Khóa
deserve,xứng đáng
consistent,nhất quán
resistance,Sức cản
discovery,khám phá
exposure,Phơi bày
pose,tư thế
stream,dòng
sale,giảm giá
pot,nồi
grand,Grand
mine,của tôi
hello,xin chào
coalition,Liên minh
tale,Câu chuyện
knife,dao
resolve,giải quyết
racial,chủng tộc
joke,câu nói đùa
coat,áo choàng
Mexican,Mexico
symptom,triệu chứng
manufacturer,nhà chế tạo
philosophy,triết lý
potato,khoai tây
foundation,nền tảng
quote,Trích dẫn
online,Trực tuyến
negotiation,đàm phán
urge,thúc giục
occasion,dịp
dust,phủi bụi
breathe,thở
elect,trúng tuyển
investigator,Điều tra viên
jacket,Áo khoác
glad,vui vẻ
ordinary,bình thường
reduction,sự giảm bớt
rarely,ít khi
pack,đóng gói
suicide,tự tử
numerous,nhiều
substance,chất
discipline,kỷ luật
elsewhere,ở nơi khác
iron,sắt
practical,thực tế
moreover,Hơn thế nữa
passion,đam mê
volunteer,Tình nguyện viên
implement,thực hiện
essentially,Thiết yếu
gene,gen
enforcement,thực thi
vs,vs
sauce,Nước xốt
independence,Sự độc lập
marketing,tiếp thị
priest,thầy tu
amazing,kinh ngạc
intense,mãnh liệt
advance,nâng cao
employer,nhà tuyển dụng
shock,sốc
inspire,truyền cảm hứng
adjust,điều chỉnh
retire,về hưu
visible,dễ thấy
kiss,hôn
illness,bệnh
cap,mũ lưỡi trai
habit,thói quen
competitive,cạnh tranh
juice,Nước ép
congressional,quốc hội
involvement,sự tham gia
dominate,thống trị
previously,Trước đây
whenever,bất cứ khi nào
transfer,chuyển khoản
analyze,phân tích
attach,gắn
disaster,thảm họa
parking,đỗ xe
prospect,tiềm năng
boss,trùm
complaint,lời phàn nàn
championship,chức vô địch
fundamental,cơ bản
severe,dữ dội
enhance,nâng cao
mystery,huyền bí
impose,áp đặt
poverty,nghèo
entry,lối vào
spending,chi tiêu
king,nhà vua
evaluate,đánh giá
symbol,Biểu tượng
maker,nhà sản xuất
mood,khí sắc
accomplish,đạt được
emphasis,nhấn mạnh
illustrate,Minh họa
boot,Khởi động
monitor,màn hình
Asian,Châu Á
entertainment,giải trí
bean,hạt đậu
evaluation,sự đánh giá
creature,sinh vật
commander,chỉ huy
digital,điện tử
arrangement,sự sắp xếp
concentrate,tập trung
usual,bình thường
anger,Sự phẫn nộ
psychological,tâm lý
heavily,nặng nề
peak,đỉnh cao
approximately,khoảng
increasing,tăng dần
disorder,Rối loạn
missile,hỏa tiễn
equally,công bằng
vary,thay đổi
wire,dây điện
round,vòng
distribution,phân bổ
transportation,vận chuyển
holy,Thánh
twin,sinh đôi
command,chỉ huy
commission,Uỷ ban
interpretation,diễn dịch
breakfast,bữa ăn sáng
strongly,mạnh mẽ
engineering,kỹ thuật
luck,May mắn
so-called,cái gọi là
constant,hằng số
clinic,phòng khám bệnh
veteran,Họ cựu chiến binh
smell,bốc mùi
tablespoon,muỗng canh
capable,có khả năng
nervous,lo lắng
tourist,du khách
toss,quăng
crucial,quan trọng
bury,chôn
pray,cầu nguyện
tomato,quả cà chua
exception,ngoại lệ
butter,bơ
deficit,thiếu hụt hoặc khuyết
bathroom,phòng tắm
objective,khách quan
electronic,điện tử
ally,đồng minh
journey,chuyến đi
reputation,danh tiếng
mixture,Hỗn hợp
surely,chắc chắn
tower,tòa tháp
smoke,Khói
confront,Đối mặt
pure,nguyên chất
glance,Nhìn thoáng qua
dimension,kích thước
toy,Đồ chơi
prisoner,Tù nhân
fellow,đồng nghiệp
smooth,mịn màng
nearby,gần đó
peer,ngang nhau
designer,nhà thiết kế
personnel,nhân viên
educator,nhà giáo dục
relative,liên quan đến
immigration,nhập cư
belt,dây nịt
teaspoon,muỗng cà phê
birthday,ngày sinh nhật
implication,hàm ý
perfectly,hoàn hảo
coast,bờ biển
supporter,người ủng hộ
accompany,đồng hành
silver,bạc
teenager,thiếu niên
recognition,sự công nhận
retirement,sự nghỉ hưu
flag,lá cờ
recovery,hồi phục
whisper,thì thầm
gentleman,quý ông
corn,Ngô
moon,mặt trăng
inner,bên trong
junior,trẻ em
throat,họng
salary,lương
swing,lung lay
observer,Người quan sát
publication,sự xuất bản
crop,gặm cỏ
dig,bạn
permanent,dài hạn
phenomenon,hiện tượng
anxiety,sự lo lắng
unlike,không giống
wet,bị ướt
literally,theo đúng nghĩa đen
resist,kháng cự
convention,quy ước
embrace,ôm
assist,hỗ trợ
exhibition,buổi triển lãm
construct,xây dựng
viewer,người xem
pan,chảo
consultant,tư vấn
administrator,người quản lý
occasionally,thỉnh thoảng
mayor,Thị trưởng
consideration,Sự xem xét
CEO,CEO
secure,chắc chắn
pink,Hồng
buck,Cái xô
historic,mang tính lịch sử
poem,Bài thơ
grandmother,bà ngoại
bind,trói buộc
fifth,thứ năm
constantly,liên tục
enterprise,doanh nghiệp
favor,ủng hộ
testing,kiểm tra
stomach,Dạ dày
apparent,rõ ràng
weigh,cân
install,Tải về
sensitive,nhạy cảm
suggestion,gợi ý
mail,email
recipe,công thức
reasonable,hợp lý
preparation,sự chuẩn bị
wooden,Gỗ
elementary,Tiểu học
concert,buổi hòa nhạc
aggressive,xâm lược
FALSE,SAI
intention,chủ đích
channel,kênh
extreme,vô cùng
tube,ống
drawing,vẽ
protein,chất đạm
quit,từ bỏ
absence,vắng mặt
Latin,Latin
rapidly,liên tục
jail,nhà tù
honest,thật thà
Palestinian,Người Palestine
pace,tốc độ
employment,thuê người làm
speaker,loa
impression,ấn tượng
essay,bài luận
respondent,người trả lời
giant,khổng lồ
cake,bánh ngọt
historian,Nhà sử học
negotiate,đàm phán
restore,khôi phục
substantial,đáng kể
pop,nhạc pop
specialist,chuyên gia
origin,nguồn gốc
approval,sự chấp thuận
quietly,lặng lẽ
advise,khuyên nhủ
conventional,thông thường
depth,chiều sâu
wealth,sự giàu có
disability,khuyết tật
shell,vỏ bọc
criticize,chỉ trích
effectively,có hiệu quả
biological,Sinh học
onion,hành tây
deputy,Phó
flat,bằng phẳng
brand,thương hiệu
assure,cam đoan
mad,điên rồ
award,phần thưởng
criteria,tiêu chuẩn
dealer,người buôn bán
via,qua
utility,tính thiết thực
precisely,đúng
arise,nảy sinh
armed,vũ trang
nevertheless,Tuy nhiên
highway,Xa lộ
clinical,lâm sàng
routine,lịch trình
wage,tiền công
normally,thông thường
phrase,cụm từ
ingredient,nguyên liệu
stake,cổ phần
Muslim,Hồi
fiber,chất xơ
activist,nhà hoạt động
Islamic,Hồi giáo
snap,Snap
terrorism,khủng bố
refugee,Người tị nạn
incorporate,kết hợp
hip,hông
ultimate,tối thượng
switch,công tắc điện
corporation,tập đoàn
valuable,quý giá
assumption,giả thiết
gear,Hộp số
barrier,rào chắn
minor,diễn viên phụ
provision,sự cung cấp
killer,sát thủ
assign,giao phó
gang,băng nhóm
developing,phát triển
classic,kinh điển
chemical,hóa học
label,nhãn mác
teen,thiếu niên
index,mục lục
vacation,kì nghỉ
advocate,biện hộ
draft,dự thảo
extraordinary,đặc biệt
heaven,thiên đường
rough,gồ ghề
yell,hét lên
pregnant,có thai
distant,xa xôi
drama,kịch
satellite,vệ tinh
personally,Cá nhân
clock,cái đồng hồ
chocolate,sô cô la
Italian,người Ý
Canadian,người Canada
ceiling,trần nhà
sweep,quét
advertising,quảng cáo
universal,phổ cập
spin,quay
button,cái nút
bell,chuông
rank,cấp
darkness,bóng tối
clothing,quần áo
super,siêu
yield,năng suất
fence,rào chắn
portrait,Chân dung
survival,Sự sống còn
roughly,đại khái
lawsuit,vụ kiện
testimony,lời khai
bunch,bó
found,thành lập
burden,gánh nặng
react,phản ứng
chamber,buồng
furniture,đồ nội thất
cooperation,sự hợp tác
string,chuỗi
ceremony,Lễ
communicate,giao tiếp
cheek,má
lost,mất
profile,Hồ sơ
mechanism,cơ chế
disagree,không đồng ý
penalty,hình phạt
ie,I E
resort,nghỉ dưỡng
destruction,sự phá hủy
unlikely,không thể
tissue,khăn giấy
constitutional,hiến pháp
pant,quần
stranger,người lạ
infection,sự nhiễm trùng
cabinet,buồng
broken,vỡ
apple,táo
electric,điện
proceed,tiếp tục
bet,nhưng
literary,văn học
virus,vi-rút
stupid,dốt nát
dispute,tranh giành
fortune,tài sản
strategic,chiến lược
assistant,trợ lý
overcome,khắc phục
remarkable,đáng chú ý
occupy,chiếm
statistics,số liệu thống kê
shopping,mua đồ
cousin,anh chị em họ
encounter,bắt gặp
wipe,lau đi
initially,ban đầu
blind,mù
port,Hải cảng
electricity,điện
genetic,di truyền
adviser,Cố vấn
spokesman,Người phát ngôn
retain,giữ lại
latter,sau này
incentive,khuyến khích
slave,nô lệ
translate,Phiên dịch
accurate,chính xác
whereas,nhưng trái lại
terror,khủng bố
expansion,sự bành trướng
elite,Thượng lưu
Olympic,Olympic
dirt,bụi bẩn
odd,số lẻ
rice,cơm
bullet,đạn
tight,chặt
Bible,Kinh thánh
chart,đồ thị
solar,hệ mặt trời
square,Quảng trường
concentration,nồng độ
complicated,phức tap
gently,dịu dàng
champion,quán quân
scenario,kịch bản
telescope,Kính viễn vọng
reflection,sự phản xạ
revolution,Cuộc cách mạng
strip,dải
interpret,thông dịch
friendly,thân thiện
tournament,Giải đấu
fiction,viễn tưởng
detect,phát hiện
tremendous,to lớn
lifetime,cả đời
recommendation,sự giới thiệu
senator,Thượng nghị sĩ
hunting,săn bắn
salad,xa lát
guarantee,Bảo hành
innocent,vô tội
boundary,ranh giới
pause,tạm ngừng
remote,Xa xôi
satisfaction,sự thỏa mãn
journal,Tạp chí
bench,Băng ghế
lover,người yêu
raw,thô
awareness,nhận thức
surprising,thật ngạc nhiên
withdraw,rút
deck,boong
similarly,Tương tự
newly,mới
pole,không
testify,làm chứng
mode,cách thức
dialogue,hội thoại
imply,"bao hàm, ngụ ý"
naturally,một cách tự nhiên
mutual,qua lại
founder,người sáng lập
advanced,nâng cao
pride,kiêu căng
dismiss,miễn nhiệm
aircraft,phi cơ
delivery,vận chuyển
mainly,chủ yếu
bake,nướng
freeze,Đông cứng
platform,nền tảng
finance,tài chính
sink,bồn rửa chén
attractive,lôi cuốn
diverse,phong phú
relevant,"liên quan, thích hợp"
ideal,lý tưởng
joy,sự vui mừng
regularly,thường xuyên
working,đang làm việc
singer,ca sĩ
evolve,tiến hóa
shooting,chụp
partly,từng phần
unknown,không xác định
offense,xúc phạm
counter,phản đối
DNA,DNA
potentially,có tiềm năng
thirty,ba mươi
justify,Biện minh
protest,phản kháng
crash,Vụ tai nạn
craft,Thủ công
treaty,hiệp ước
terrorist,kẻ khủng bố
insight,cái nhìn thấu suốt
possess,Sở hữu
politically,về mặt chính trị
tap,vỗ nhẹ
extensive,rộng rãi
episode,tập phim
swim,bơi
tire,lốp xe
fault,lỗi
loose,lỏng lẻo
shortly,trong thời gian ngắn
originally,ban đầu
considerable,đáng kể
prior,trước
intellectual,trí tuệ
assault,tấn công
relax,thư giãn
stair,cầu thang
adventure,cuộc phiêu lưu
external,bên ngoài
proof,bằng chứng
confident,tự tin
headquarters,trụ sở chính
sudden,đột nhiên
dirty,dơ bẩn
violation,sự vi phạm
tongue,lưỡi
license,giấy phép
shelter,ẩn núp
rub,Chà
controversy,tranh cãi
entrance,cổng vào
properly,đúng
fade,phai màu
defensive,phòng ngự
tragedy,Bi kịch
net,bọc lưới
characterize,đặc trưng
funeral,tang lễ
profession,nghề nghiệp
alter,thay đổi
constitute,cấu tạo
establishment,thành lập
squeeze,vắt kiệt
imagination,trí tưởng tượng
mask,mặt nạ
convert,đổi
comprehensive,toàn diện
prominent,nổi bật
presentation,bài thuyết trình
regardless,bất kể
load,trọng tải
stable,ổn định
introduction,Giới thiệu
pretend,giả vờ
elderly,người già
representation,đại diện
deer,con nai
split,tách ra
violate,xâm phạm
partnership,quan hệ đối tác
pollution,sự ô nhiễm
emission,khí thải
steady,vững chắc
vital,thiết yếu
fate,định mệnh
earnings,Thu nhập
oven,lò
distinction,sự khác biệt
segment,bộ phận
nowhere,hư không
poet,nhà thơ
mere,hơn
exciting,kích thích
variation,sự thay đổi
comfort,an ủi
radical,căn bản
adapt,thích nghi
Irish,Ailen
honey,Chồng yêu
correspondent,Phóng viên
pale,tái nhợt
musician,nhạc sĩ
significance,ý nghĩa
vessel,tàu
storage,kho
flee,chạy trốn
mm-hmm,mm-hmm
leather,da thú
distribute,phân phát
evolution,sự tiến hóa
ill,tôi sẽ
tribe,Bộ lạc
shelf,cái kệ
grandfather,ông nội
lawn,bãi cỏ
buyer,người mua
dining,Ăn uống
wisdom,khôn ngoan
council,hội đồng
vulnerable,dễ bị tổn thương
instance,ví dụ
garlic,tỏi
capability,khả năng
poetry,thơ
celebrity,Danh nhân
gradually,dần dần
stability,sự ổn định
fantasy,tưởng tượng
scared,sợ hãi
plot,mảnh đất
framework,khuôn khổ
gesture,cử chỉ
depending,tùy
ongoing,đang diễn ra
psychology,tâm lý
counselor,cố vấn
chapter,Chương
divorce,ly hôn
owe,nợ
pipe,đường ống
athletic,Khỏe mạnh
slight,mảnh dẻ
math,môn Toán
shade,bóng râm
tail,đuôi
sustain,duy trì
mount,gắn kết
obligation,nghĩa vụ
angle,góc
palm,lòng bàn tay
differ,khác nhau
custom,tập quán
economist,nhà kinh tế
fifteen,mười lăm
soup,Súp
celebration,lễ kỷ niệm
efficient,có hiệu quả
composition,thành phần
satisfy,thỏa mãn
pile,Đóng cọc
briefly,Tóm tắt
carbon,carbon
closer,gần hơn
consume,tiêu thụ
scheme,cơ chế
crack,nứt
frequency,tần số
tobacco,thuốc lá
survivor,người sống sót
besides,bên cạnh đó
psychologist,nhà tâm lý học
wealthy,giàu có
galaxy,ngân hà
given,được cho
ski,trượt tuyết
limitation,giới hạn
trace,dấu vết
appointment,cuộc hẹn
preference,sự ưa thích
meter,Mét
explosion,Vụ nổ
publicly,công khai
incredible,không thể tin được
fighter,đấu sĩ
rapid,nhanh
admission,nhận vào
hunter,thợ săn
painful,đau đớn
friendship,hữu nghị
aide,phụ tá
infant,Trẻ sơ sinh
calculate,tính toán
fifty,năm mươi
rid,thoát khỏi
porch,hiên nhà
tendency,xu hướng
uniform,đồng phục
formation,sự hình thành
scholarship,học bổng
reservation,Dự phòng
efficiency,hiệu quả
qualify,đủ điều kiện
mall,trung tâm mua sắm
derive,lấy được
scandal,vụ bê bối
PC,máy tính
helpful,Hữu ích
impress,gây ấn tượng
heel,tất cả các
resemble,giống với
privacy,sự riêng tư
fabric,sợi vải
contest,Cuộc thi
proportion,tỷ lệ
guideline,hướng dẫn
rifle,Súng trường
maintenance,Sự bảo trì
conviction,"lòng tin chắc, sự kết án, phán quyết"
trick,lừa
organic,hữu cơ
tent,Cái lều
examination,"kiểm tra, khám nghiệm"
publisher,nhà xuất bản
strengthen,tăng cường
proposed,đề xuất
myth,Chuyện hoang đường
sophisticated,tinh vi
cow,bò
etc,vân vân
standing,đứng
asleep,ngủ
tennis,quần vợt
nerve,thần kinh
barrel,thùng
bombing,ném bom
membership,tư cách thành viên
ratio,tỉ lệ
menu,thực đơn
controversial,gây tranh cãi
desperate,tuyệt vọng
lifestyle,cách sống
humor,hài hước
loud,lớn
glove,găng tay
sufficient,hợp lý
narrative,chuyện kể
photographer,nhiếp ảnh gia
helicopter,máy bay trực thăng
modest,khiêm tốn
provider,các nhà cung cấp
delay,sự chậm trễ
agricultural,nông nghiệp
explode,nổ tung
stroke,Cú đánh
scope,phạm vi
punishment,hình phạt
handful,một nắm đầy tay
badly,tệ
horizon,Chân trời
curious,Tò mò
downtown,trung tâm thành phố
girlfriend,bạn gái
prompt,lời nhắc
cholesterol,cholesterol
absorb,hấp thụ
adjustment,điều chỉnh
taxpayer,người nộp thuế
eager,hăng hái
principal,hiệu trưởng
detailed,chi tiết
motivation,động lực
assignment,phân công
restriction,sự hạn chế
laboratory,phòng thí nghiệm
workshop,xưởng
differently,khác nhau
auto,tự động
romantic,lãng mạn
cotton,bông
motor,Động cơ
sue,kiện
flavor,Hương vị
overlook,bỏ qua
float,trôi nổi
undergo,trải qua
sequence,sự nối tiếp
demonstration,trình diễn
jet,Máy bay phản lực
orange,trái cam
consumption,sự tiêu thụ
assert,khẳng định
blade,lưỡi
temporary,tạm thời
medication,thuốc
cabin,Cabin
bite,cắn
edition,chỉnh sửa
valley,thung lũng
yours,của bạn
pitch,sân cỏ
pine,cây thông
brilliant,rực rỡ
versus,đấu với
manufacturing,chế tạo
absolute,Tuyệt đối
chef,Đầu bếp
discrimination,phân biệt
offensive,phản cảm
boom,bùng nổ
register,Đăng ký
appoint,bổ nhiệm
heritage,di sản
God,Chúa
dominant,có ưu thế
successfully,thành công
shit,Chết tiệt
lemon,Chanh
hungry,đói bụng
wander,đi lang thang
submit,Gửi đi
economics,Kinh tế học
naked,Khỏa thân
anticipate,dự đoán
nut,hạt
legacy,di sản
extension,sự mở rộng
shrug,nhún vai
battery,pin
arrival,đến
legitimate,hợp pháp
orientation,sự định hướng
inflation,lạm phát
cope,đối phó
flame,Ngọn lửa
cluster,cụm
wound,vết thương
dependent,sự phụ thuộc
shower,vòi sen
institutional,thể chế
depict,miêu tả
operating,điều hành
flesh,thịt
garage,ga-ra
operator,nhà điều hành
instructor,người hướng dẫn
collapse,sự sụp đổ
borrow,vay
furthermore,Hơn nữa
comedy,hài kịch
mortgage,thế chấp
sanction,phê chuẩn
civilian,thường dân
twelve,mười hai
weekly,hàng tuần
habitat,môi trường sống
grain,ngũ cốc
brush,chải
consciousness,ý thức
devote,Cứu
measurement,đo đạc
province,tỉnh
ease,xoa dịu
seize,nắm bắt
ethics,Đạo đức
nomination,sự đề cử
permission,sự cho phép
wise,khôn ngoan
actress,nữ diễn viên
summit,Hội nghị thượng đỉnh
acid,axit
odds,tỷ lệ cược
gifted,năng khiếu
frustration,sự thất vọng
medium,Trung bình
physically,thể chất
distinguish,phân biệt
shore,bờ biển
repeatedly,nhiều lần
lung,phổi
running,đang chạy
distinct,riêng biệt
artistic,thuộc về nghệ thuật
discourse,đàm luận
basket,rổ
ah,Thích
fighting,trận đánh
impressive,ấn tượng
competitor,đối thủ
ugly,xấu xí
worried,lo lắng
portray,miêu tả
powder,Bột
ghost,bóng ma
persuade,thuyết phục
moderate,vừa phải
subsequent,tiếp theo
continued,tiếp tục
cookie,bánh quy
carrier,vận chuyển
cooking,nấu ăn
frequent,thường xuyên
ban,lệnh cấm
awful,kinh khủng
admire,khâm phục
pet,thú cưng
miracle,phép màu
exceed,quá
rhythm,nhịp
widespread,phổ biến rộng rãi
killing,giết người
lovely,đẹp
sin,tội
charity,tổ chức từ thiện
script,kịch bản
tactic,chiến thuật
identification,nhận biết
transformation,biến đổi
everyday,Hằng ngày
headline,tiêu đề
venture,liên doanh
invasion,cuộc xâm lăng
nonetheless,Tuy nhiên
adequate,đủ
piano,đàn piano
grocery,cửa hàng tạp hóa
intensity,cường độ
exhibit,Triển lãm
blanket,cái mền
margin,lề
quarterback,Tiền vệ
mouse,con chuột
rope,dây thừng
concrete,bê tông
prescription,đơn thuốc
African-American,Người Mỹ gốc Phi
chase,săn bắt
brick,gạch
recruit,tuyển dụng
patch,vá
consensus,đoàn kết
horror,kinh dị
recording,ghi âm
changing,thay đổi
painter,họa sĩ
colonial,thuộc địa
pie,gần
sake,lợi ích
gaze,ánh mắt
courage,lòng can đảm
pregnancy,thai kỳ
swear,xin thề
defeat,đánh bại
clue,manh mối
reinforce,củng cố
confusion,sự hoang mang
slice,lát cắt
occupation,nghề nghiệp
dear,kính thưa
coal,than
sacred,Linh thiêng
formula,công thức
cognitive,nhận thức
collective,tập thể
exact,chính xác
uncle,Chú
captain,đội trưởng
sigh,thở dài
attribute,thuộc tính
dare,dám
homeless,Vô gia cư
gallery,bộ sưu tập
soccer,bóng đá
defendant,bị cáo
tunnel,đường hầm
fitness,sự thích hợp
lap,LAP
grave,phần mộ
toe,sau đó
container,thùng đựng hàng
virtue,Đức hạnh
abroad,Hải ngoại
architect,kiến trúc sư
dramatically,đáng kể
makeup,trang điểm
inquiry,cuộc điều tra
rose,Hoa hồng
surprisingly,thật ngạc nhiên
highlight,Điểm nổi bật
decrease,giảm bớt
indication,chỉ dẫn
rail,đường sắt
anniversary,dịp kỉ niệm
couch,đi văng
alliance,Liên minh
hypothesis,Giả thuyết
boyfriend,bạn trai
compose,"soạn, biên soạn"
mess,sự lộn xộn
legend,huyền thoại
regulate,điều tiết
adolescent,thanh niên
shine,chiếu sáng
